names,scores,logfoldchanges,pvals,pvals_adj
NAV2,52.17632,2.9412622,0.0,0.0
ZBTB7C,37.935905,2.1234465,0.0,0.0
DSCAM,38.262543,8.717268,0.0,0.0
RPS6KA2,38.59988,2.6280663,0.0,0.0
NAV3,38.837498,6.5783863,0.0,0.0
RNF144A,39.104534,1.9782871,0.0,0.0
KCNQ3,39.424927,3.5331395,0.0,0.0
PALM2AKAP2,40.278477,2.0860972,0.0,0.0
PRUNE2,40.714874,3.272257,0.0,0.0
PDE4D,40.306454,5.5911713,0.0,0.0
KAZN,43.06197,5.182798,0.0,0.0
EML6,43.905354,2.113416,0.0,0.0
KCNIP4,43.99191,4.852988,0.0,0.0
DOCK3,44.08144,3.726159,0.0,0.0
TPST1,44.475006,2.1414204,0.0,0.0
PLCB1,45.005585,6.5083475,0.0,0.0
KLHL29,48.020332,7.0285454,0.0,0.0
DYNC1I1,42.33775,2.8107066,0.0,0.0
FMN1,37.586224,6.9907002,3.609694509216825e-309,3.7502826111547425e-307
NHS,37.105804,1.4257725,2.264647278302386e-301,2.2352068636844548e-299
PAPPA,36.888584,2.335003,7.043447745432212e-298,6.62084088070628e-296
LONRF2,36.6637,1.250363,2.7683511206262626e-294,2.4839659600528377e-292
CACNB2,36.494873,2.6685388,1.3372748446019539e-291,1.1477306709757638e-289
PPP2R2C,36.355648,1.4131869,2.139648512760281e-289,1.759860901745331e-287
CALD1,35.8502,1.4302746,1.8259588339743163e-281,1.4417770953061203e-279
ATP2B4,35.779057,2.3362212,2.3382312441383443e-280,1.7752571061265737e-278
DLGAP2,35.77795,5.2028933,2.4328865889506504e-280,1.778710417255031e-278
ARHGAP26,35.40406,2.936306,1.4787468784481987e-274,1.04251654930598e-272
SYNDIG1,34.46106,2.1393716,3.0751395016505936e-260,2.093215646985611e-258
B2M,34.362846,0.91236913,9.055614693345749e-259,5.9585944682215025e-257
ATP1B1,34.324913,1.9803673,3.335344491790659e-258,2.123861298966052e-256
ASIC2,34.222042,3.5779598,1.1367576489380374e-256,7.012373746886518e-255
MTSS1,34.219547,1.8424456,1.2381571933998507e-256,7.406431211428198e-255
AKAP12,34.037304,2.6305447,6.255468406812091e-254,3.6318513632491374e-252
NRG1,33.98585,37.607426,3.605093306692797e-253,2.0332726249747373e-251
TMTC1,33.833904,1.5876828,6.259805918708721e-251,3.4324602454252823e-249
PTPRM,33.792725,1.8913801,2.5224548294825093e-250,1.345763738756344e-248
SVIL,33.77377,1.551577,4.7881167734829757e-250,2.4873006607514192e-248
GABRB1,33.517975,2.264166,2.6377163598761926e-246,1.3350902806142575e-244
CPEB4,33.418934,1.3426532,7.2788747559382555e-245,3.592124692055529e-243
ATP8A2,33.40314,2.462245,1.2343229993079965e-244,5.94281366008289e-243
SYNE1,33.25255,1.7195731,1.8754153013804948e-242,8.814451916488326e-241
NRXN3,33.212276,4.394946,7.158766095783057e-242,3.2863730867618034e-240
UBE3A,33.18251,1.9443127,1.9248164966771683e-241,8.635426737365297e-240
CEP112,33.129753,1.2220434,1.108487324675297e-240,4.862564397575636e-239
VAT1L,33.064877,2.0830522,9.50929034256491e-240,4.0807258991789415e-238
PAM,32.67674,2.8868496,3.3431731885928753e-234,1.4041327392090077e-232
CACNA1C,32.502346,2.4784796,9.87909170891257e-232,4.062776465290294e-230
ANO4,32.448376,2.4211552,5.709850961759299e-231,2.30025424459446e-229
GAREM1,32.34108,1.4644406,1.851808398647662e-229,7.31093955786097e-228
